Group,d__Archaea;p__Euryarchaeota,d__Bacteria;__,d__Bacteria;p__Acidobacteriota,d__Bacteria;p__Actinobacteriota,d__Bacteria;p__Bacteroidota,d__Bacteria;p__Bdellovibrionota,d__Bacteria;p__Campylobacterota,d__Bacteria;p__Chloroflexi,d__Bacteria;p__Cyanobacteria,d__Bacteria;p__Desulfobacterota,d__Bacteria;p__Firmicutes,d__Bacteria;p__Fusobacteriota,d__Bacteria;p__Patescibacteria,d__Bacteria;p__Planctomycetota,d__Bacteria;p__Proteobacteria,d__Bacteria;p__Spirochaetota,d__Bacteria;p__Synergistota,d__Bacteria;p__Verrucomicrobiota,Unassigned;__
MP,0,3.84689363339104E-05,0,0.084990703340386,0.3288709367186,0,3.84689363339104E-05,0,0.000115406809001731,1.28229787779701E-05,0.572738347118036,0.00107713021734949,0.000628325960120536,0,0.00861704173879592,0,0,0.00287234724626531,0
MP,0,0,0,0.0630354454632544,0.244423155877925,0,0,0,0.000191597098672506,0.000478992746681265,0.475338716299439,0.00302449705761598,0.000916928972218421,0,0.111865334610647,0,5.47420281921445E-05,0.100670589845354,0
MP,0,4.95964092199725E-05,0,0.0625906684356053,0.236488078263134,0,0,0,7.43946138299587E-05,0.000309977557624828,0.507458060036453,0.00256661417713358,0.000805941649824553,0,0.112013490223308,0,9.9192818439945E-05,0.077543985815427,0
MP,0,0,0,0.0166714460752366,0.000221590760968743,0,0,0,0.000430146771292265,0,0.981686175343466,2.60695012904403E-05,0,0,0.000951536797101072,0,0,1.30347506452202E-05,0
MP,0.000347157933715979,0,0,0.151742732827254,0.129883354934271,0,0,0,8.10035178670617E-05,0.00249953712275505,0.617443528976116,0,1.1571931123866E-05,0,0.097724958341048,0,0,0.000266154415848917,0
MP,0,0,0,0.00201296522764905,0.594052012424108,0,0,0,4.32895747881516E-05,0,0.383870304433935,0,0,0,0.0195452430168505,0,0,0.000476185322669668,0
MP,0,0,0,0.078921568627451,0.430336134453782,0,0,0,0,0,0.47875350140056,0.00305322128851541,0,0,0.00893557422969188,0,0,0,0
MP,0,7.93674414913142E-05,0,0.00893875809795927,0.401807593479965,0,0,0,0,0.000168655813169043,0.582854648451839,0.000287706975406014,0,0,0.00456362788575057,0,9.92093018641428E-06,0.00125995813367461,2.97627905592428E-05
MP,0,0,0,0.00856326349896355,0.000322002857775363,0,0,0,0.000110688482360281,0,0.988407897120087,0,0,0,0.00259614804081386,0,0,0,0
MP,0,2.46090241291482E-05,0,0.241057695857071,0.184506158408288,0,0.0109141022012772,0,0,0,0.438483591933162,0.0922100134119182,0.0273652348316128,0,0.00502024092234622,0.000369135361937222,4.92180482582963E-05,0,0
MP,0.000108419552691903,6.19540301096586E-05,0,0.150703178241745,0.183538814199864,0,0.0888265906697231,0.00229229911405737,0.00398054643454557,0.00114614955702868,0.3611300415092,0.0991574251905086,0.0138312372219813,0,0.016696611114553,0.0647574499721207,0.0135989096090701,0,0.000170373582801561
